uniprot_id,protein,gene,description
P60520,GBRL2_HUMAN,GABARAPL2,Gamma-aminobutyric acid receptor-associated protein-like 2
P51570,GALK1_HUMAN,GALK1,Galactokinase
Q96C23,GALM_HUMAN,GALM,Aldose 1-epimerase
Q14353,GAMT_HUMAN,GAMT,Guanidinoacetate N-methyltransferase
Q14697,GANAB_HUMAN,GANAB,Neutral alpha-glucosidase AB
P04406,G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase
O14556,G3PT_HUMAN,GAPDHS,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific"
P41250,GARS_HUMAN,GARS1,Glycine--tRNA ligase
P22102,PUR2_HUMAN,GART,Trifunctional purine biosynthetic protein adenosine-3
Q04446,GLGB_HUMAN,GBE1,"1,4-alpha-glucan-branching enzyme"
P32456,GBP2_HUMAN,GBP2,Guanylate-binding protein 2
Q92947,GCDH_HUMAN,GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial"
P48507,GSH0_HUMAN,GCLM,Glutamate--cysteine ligase regulatory subunit
Q92616,GCN1_HUMAN,GCN1,eIF-2-alpha kinase activator GCN1
P23434,GCSH_HUMAN,GCSH,"Glycine cleavage system H protein, mitochondrial"
P31150,GDIA_HUMAN,GDI1,Rab GDP dissociation inhibitor alpha
P50395,GDIB_HUMAN,GDI2,Rab GDP dissociation inhibitor beta
Q96RP9,EFGM_HUMAN,GFM1,"Elongation factor G, mitochondrial"
O75223,GGCT_HUMAN,GGCT,Gamma-glutamylcyclotransferase
Q9H3K2,GHITM_HUMAN,GHITM,Growth hormone-inducible transmembrane protein
Q9H4G4,GAPR1_HUMAN,GLIPR2,Golgi-associated plant pathogenesis-related protein 1
Q04760,LGUL_HUMAN,GLO1,Lactoylglutathione lyase
Q9HC38,GLOD4_HUMAN,GLOD4,Glyoxalase domain-containing protein 4
P35754,GLRX1_HUMAN,GLRX,Glutaredoxin-1
O76003,GLRX3_HUMAN,GLRX3,Glutaredoxin-3
Q86SX6,GLRX5_HUMAN,GLRX5,"Glutaredoxin-related protein 5, mitochondrial"
Q9NZD2,GLTP_HUMAN,GLTP,Glycolipid transfer protein
P00367,DHE3_HUMAN,GLUD1,"Glutamate dehydrogenase 1, mitochondrial"
P15104,GLNA_HUMAN,GLUL,Glutamine synthetase
Q9Y5P6,GMPPB_HUMAN,GMPPB,Mannose-1-phosphate guanyltransferase beta
P36959,GMPR1_HUMAN,GMPR,GMP reductase 1
Q9P2T1,GMPR2_HUMAN,GMPR2,GMP reductase 2
P29992,GNA11_HUMAN,GNA11,Guanine nucleotide-binding protein subunit alpha-11
P04899,GNAI2_HUMAN,GNAI2,Guanine nucleotide-binding protein G(i) subunit alpha-2
Q5JWF2,GNAS1_HUMAN,GNAS,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas
P62873,GBB1_HUMAN,GNB1,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
P62879,GBB2_HUMAN,GNB2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2
Q9UBI6,GBG12_HUMAN,GNG12,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12
P46926,GNPI1_HUMAN,GNPDA1,Glucosamine-6-phosphate isomerase 1
Q9H8Y8,GORS2_HUMAN,GORASP2,Golgi reassembly-stacking protein 2
P17174,AATC_HUMAN,GOT1,"Aspartate aminotransferase, cytoplasmic"
P00505,AATM_HUMAN,GOT2,"Aspartate aminotransferase, mitochondrial"
P35052,GPC1_HUMAN,GPC1,Glypican-1
P21695,GPDA_HUMAN,GPD1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic"
Q8N335,GPD1L_HUMAN,GPD1L,Glycerol-3-phosphate dehydrogenase 1-like protein
P43304,GPDM_HUMAN,GPD2,"Glycerol-3-phosphate dehydrogenase, mitochondrial"
Q9NQX3,GEPH_HUMAN,GPHN,Gephyrin
P06744,G6PI_HUMAN,GPI,Glucose-6-phosphate isomerase
Q13098,CSN1_HUMAN,GPS1,COP9 signalosome complex subunit 1
P24298,ALAT1_HUMAN,GPT,Alanine aminotransferase 1
Q8TD30,ALAT2_HUMAN,GPT2,Alanine aminotransferase 2
P07203,GPX1_HUMAN,GPX1,Glutathione peroxidase 1
P22352,GPX3_HUMAN,GPX3,Glutathione peroxidase 3
P36969,GPX4_HUMAN,GPX4,Phospholipid hydroperoxide glutathione peroxidase
P62993,GRB2_HUMAN,GRB2,Growth factor receptor-bound protein 2
Q9UBQ7,GRHPR_HUMAN,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase
Q9HAV7,GRPE1_HUMAN,GRPEL1,"GrpE protein homolog 1, mitochondrial"
Q12849,GRSF1_HUMAN,GRSF1,G-rich sequence factor 1
P49840,GSK3A_HUMAN,GSK3A,Glycogen synthase kinase-3 alpha
P49841,GSK3B_HUMAN,GSK3B,Glycogen synthase kinase-3 beta
P06396,GELS_HUMAN,GSN,Gelsolin
P15170,ERF3A_HUMAN,GSPT1,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A
P00390,GSHR_HUMAN,GSR,"Glutathione reductase, mitochondrial"
P48637,GSHB_HUMAN,GSS,Glutathione synthetase
Q9Y2Q3,GSTK1_HUMAN,GSTK1,Glutathione S-transferase kappa 1
P09488,GSTM1_HUMAN,GSTM1,Glutathione S-transferase Mu 1
P28161,GSTM2_HUMAN,GSTM2,Glutathione S-transferase Mu 2
P21266,GSTM3_HUMAN,GSTM3,Glutathione S-transferase Mu 3
P78417,GSTO1_HUMAN,GSTO1,Glutathione S-transferase omega-1
P09211,GSTP1_HUMAN,GSTP1,Glutathione S-transferase P
O43708,MAAI_HUMAN,GSTZ1,Maleylacetoacetate isomerase
Q16774,KGUA_HUMAN,GUK1,Guanylate kinase
P46976,GLYG_HUMAN,GYG1,Glycogenin-1
P13807,GYS1_HUMAN,GYS1,"Glycogen [starch] synthase, muscle"
P07305,H10_HUMAN,H1-0,Histone H1.0
P62807,H2B1C_HUMAN,H2BC4,Histone H2B type 1-C/E/F/G/I
P84243,H33_HUMAN,H3-3A,Histone H3.3
O95479,G6PE_HUMAN,H6PD,GDH/6PGL endoplasmic bifunctional protein
Q16836,HCDH_HUMAN,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"
P40939,ECHA_HUMAN,HADHA,"Trifunctional enzyme subunit alpha, mitochondrial"
P55084,ECHB_HUMAN,HADHB,"Trifunctional enzyme subunit beta, mitochondrial"
Q16775,GLO2_HUMAN,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial"
P12081,HARS1_HUMAN,HARS1,"Histidine--tRNA ligase, cytoplasmic"
O14929,HAT1_HUMAN,HAT1,Histone acetyltransferase type B catalytic subunit
Q9Y450,HBS1L_HUMAN,HBS1L,HBS1-like protein
P53701,CCHL_HUMAN,HCCS,Cytochrome c-type heme lyase
Q9Y5Z7,HCFC2_HUMAN,HCFC2,Host cell factor 2
Q7Z4H3,HDDC2_HUMAN,HDDC2,HD domain-containing protein 2
P51858,HDGF_HUMAN,HDGF,Hepatoma-derived growth factor
Q7Z4V5,HDGR2_HUMAN,HDGFL2,Hepatoma-derived growth factor-related protein 2
Q9H0R4,HDHD2_HUMAN,HDHD2,Haloacid dehalogenase-like hydrolase domain-containing protein 2
Q9BXW7,HDHD5_HUMAN,HDHD5,Haloacid dehalogenase-like hydrolase domain-containing 5
Q00341,VIGLN_HUMAN,HDLBP,Vigilin
Q9NRV9,HEBP1_HUMAN,HEBP1,Heme-binding protein 1
Q9Y5Z4,HEBP2_HUMAN,HEBP2,Heme-binding protein 2
O14964,HGS_HUMAN,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate
Q9HCP6,HHATL_HUMAN,HHATL,Protein-cysteine N-palmitoyltransferase HHAT-like protein
P31937,3HIDH_HUMAN,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial"
Q6NVY1,HIBCH_HUMAN,HIBCH,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
Q53FT3,HIKES_HUMAN,HIKESHI,Protein Hikeshi
P49773,HINT1_HUMAN,HINT1,Histidine triad nucleotide-binding protein 1
Q9BX68,HINT2_HUMAN,HINT2,"Histidine triad nucleotide-binding protein 2, mitochondrial"
Q9NQE9,HINT3_HUMAN,HINT3,Histidine triad nucleotide-binding protein 3
P19367,HXK1_HUMAN,HK1,Hexokinase-1
P04439,HLAA_HUMAN,HLA-A,"HLA class I histocompatibility antigen, A alpha chain"
P01889,HLAB_HUMAN,HLA-B,"HLA class I histocompatibility antigen, B alpha chain"
P01911,DRB_HUMAN,HLA-DRB1,"HLA class II histocompatibility antigen, DRB1 beta chain"
P09429,HMGB1_HUMAN,HMGB1,High mobility group protein B1
P26583,HMGB2_HUMAN,HMGB2,High mobility group protein B2
P35914,HMGCL_HUMAN,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial"
P09601,HMOX1_HUMAN,HMOX1,Heme oxygenase 1
P09651,ROA1_HUMAN,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1
P22626,ROA2_HUMAN,HNRNPA2B1,Heterogeneous nuclear ribonucleoproteins A2/B1
P51991,ROA3_HUMAN,HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3
Q14103,HNRPD_HUMAN,HNRNPD,Heterogeneous nuclear ribonucleoprotein D0
O14979,HNRDL_HUMAN,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like
P31943,HNRH1_HUMAN,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H
P55795,HNRH2_HUMAN,HNRNPH2,Heterogeneous nuclear ribonucleoprotein H2
P31942,HNRH3_HUMAN,HNRNPH3,Heterogeneous nuclear ribonucleoprotein H3
P61978,HNRPK_HUMAN,HNRNPK,Heterogeneous nuclear ribonucleoprotein K
P14866,HNRPL_HUMAN,HNRNPL,Heterogeneous nuclear ribonucleoprotein L
P52272,HNRPM_HUMAN,HNRNPM,Heterogeneous nuclear ribonucleoprotein M
O43390,HNRPR_HUMAN,HNRNPR,Heterogeneous nuclear ribonucleoprotein R
Q00839,HNRPU_HUMAN,HNRNPU,Heterogeneous nuclear ribonucleoprotein U
Q5SSJ5,HP1B3_HUMAN,HP1BP3,Heterochromatin protein 1-binding protein 3
P00492,HPRT_HUMAN,HPRT1,Hypoxanthine-guanine phosphoribosyltransferase
P23327,SRCH_HUMAN,HRC,Sarcoplasmic reticulum histidine-rich calcium-binding protein
Q8IWL3,HSC20_HUMAN,HSCB,Iron-sulfur cluster co-chaperone protein HscB
Q99714,HCD2_HUMAN,HSD17B10,3-hydroxyacyl-CoA dehydrogenase type-2
Q53GQ0,DHB12_HUMAN,HSD17B12,Very-long-chain 3-oxoacyl-CoA reductase
P51659,DHB4_HUMAN,HSD17B4,Peroxisomal multifunctional enzyme type 2
Q92506,DHB8_HUMAN,HSD17B8,Estradiol 17-beta-dehydrogenase 8
Q6YN16,HSDL2_HUMAN,HSDL2,Hydroxysteroid dehydrogenase-like protein 2
P07900,HS90A_HUMAN,HSP90AA1,Heat shock protein HSP 90-alpha
P08238,HS90B_HUMAN,HSP90AB1,Heat shock protein HSP 90-beta
P14625,ENPL_HUMAN,HSP90B1,Endoplasmin
Q0VDF9,HSP7E_HUMAN,HSPA14,Heat shock 70 kDa protein 14
P0DMV8,HS71A_HUMAN,HSPA1A,Heat shock 70 kDa protein 1A
P54652,HSP72_HUMAN,HSPA2,Heat shock-related 70 kDa protein 2
P34932,HSP74_HUMAN,HSPA4,Heat shock 70 kDa protein 4
P11021,BIP_HUMAN,HSPA5,Endoplasmic reticulum chaperone BiP
P11142,HSP7C_HUMAN,HSPA8,Heat shock cognate 71 kDa protein
P38646,GRP75_HUMAN,HSPA9,"Stress-70 protein, mitochondrial"
P04792,HSPB1_HUMAN,HSPB1,Heat shock protein beta-1
Q16082,HSPB2_HUMAN,HSPB2,Heat shock protein beta-2
Q12988,HSPB3_HUMAN,HSPB3,Heat shock protein beta-3
O14558,HSPB6_HUMAN,HSPB6,Heat shock protein beta-6
Q9UBY9,HSPB7_HUMAN,HSPB7,Heat shock protein beta-7
Q9UJY1,HSPB8_HUMAN,HSPB8,Heat shock protein beta-8
Q9NZL4,HPBP1_HUMAN,HSPBP1,Hsp70-binding protein 1
P10809,CH60_HUMAN,HSPD1,"60 kDa heat shock protein, mitochondrial"
P61604,CH10_HUMAN,HSPE1,"10 kDa heat shock protein, mitochondrial"
P98160,PGBM_HUMAN,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein
Q92598,HS105_HUMAN,HSPH1,Heat shock protein 105 kDa
Q7Z6Z7,HUWE1_HUMAN,HUWE1,E3 ubiquitin-protein ligase HUWE1
Q9Y4L1,HYOU1_HUMAN,HYOU1,Hypoxia up-regulated protein 1
Q2TAA2,IAH1_HUMAN,IAH1,Isoamyl acetate-hydrolyzing esterase 1 homolog
P41252,SYIC_HUMAN,IARS1,"Isoleucine--tRNA ligase, cytoplasmic"
Q9NSE4,SYIM_HUMAN,IARS2,"Isoleucine--tRNA ligase, mitochondrial"
Q5T440,CAF17_HUMAN,IBA57,"Putative transferase CAF17, mitochondrial"
P14735,IDE_HUMAN,IDE,Insulin-degrading enzyme
O75874,IDHC_HUMAN,IDH1,Isocitrate dehydrogenase [NADP] cytoplasmic
P48735,IDHP_HUMAN,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial"
P50213,IDH3A_HUMAN,IDH3A,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial"
O43837,IDH3B_HUMAN,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"
P51553,IDH3G_HUMAN,IDH3G,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"
Q13907,IDI1_HUMAN,IDI1,Isopentenyl-diphosphate Delta-isomerase 1
P09913,IFIT2_HUMAN,IFIT2,Interferon-induced protein with tetratricopeptide repeats 2
P13164,IFM1_HUMAN,IFITM1,Interferon-induced transmembrane protein 1
Q8WYA0,IFT81_HUMAN,IFT81,Intraflagellar transport protein 81 homolog
Q14116,IL18_HUMAN,IL18,Interleukin-18
Q12906,ILF3_HUMAN,ILF3,Interleukin enhancer-binding factor 3
Q13418,ILK_HUMAN,ILK,Integrin-linked protein kinase
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein
Q16891,MIC60_HUMAN,IMMT,MICOS complex subunit MIC60
P29218,IMPA1_HUMAN,IMPA1,Inositol monophosphatase 1
O14732,IMPA2_HUMAN,IMPA2,Inositol monophosphatase 2
Q9P2X3,IMPCT_HUMAN,IMPACT,Protein IMPACT
P12268,IMDH2_HUMAN,IMPDH2,Inosine-5'-monophosphate dehydrogenase 2
O00410,IPO5_HUMAN,IPO5,Importin-5
O95373,IPO7_HUMAN,IPO7,Importin-7
P46940,IQGA1_HUMAN,IQGAP1,Ras GTPase-activating-like protein IQGAP1
Q86U28,ISCA2_HUMAN,ISCA2,"Iron-sulfur cluster assembly 2 homolog, mitochondrial"
Q96CN7,ISOC1_HUMAN,ISOC1,Isochorismatase domain-containing protein 1
Q96AB3,ISOC2_HUMAN,ISOC2,Isochorismatase domain-containing protein 2
P53990,IST1_HUMAN,IST1,IST1 homolog
Q13683,ITA7_HUMAN,ITGA7,Integrin alpha-7
P05556,ITB1_HUMAN,ITGB1,Integrin beta-1
P26440,IVD_HUMAN,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial"
Q8N5M9,JAGN1_HUMAN,JAGN1,Protein jagunal homolog 1
P01591,IGJ_HUMAN,JCHAIN,Immunoglobulin J chain
Q9HDC5,JPH1_HUMAN,JPH1,Junctophilin-1
Q9BR39,JPH2_HUMAN,JPH2,Junctophilin-2
Q9UK76,JUPI1_HUMAN,JPT1,Jupiter microtubule associated homolog 1
Q9H910,JUPI2_HUMAN,JPT2,Jupiter microtubule associated homolog 2
Q96MG2,JSPR1_HUMAN,JSRP1,Junctional sarcoplasmic reticulum protein 1
P14923,PLAK_HUMAN,JUP,Junction plakoglobin
Q15046,SYK_HUMAN,KARS1,Lysine--tRNA ligase
Q96CX2,KCD12_HUMAN,KCTD12,BTB/POZ domain-containing protein KCTD12
Q9UGL1,KDM5B_HUMAN,KDM5B,Lysine-specific demethylase 5B
Q92945,FUBP2_HUMAN,KHSRP,Far upstream element-binding protein 2
P33176,KINH_HUMAN,KIF5B,Kinesin-1 heavy chain
Q07866,KLC1_HUMAN,KLC1,Kinesin light chain 1
Q8IXV7,KLD8B_HUMAN,KLHDC8B,Kelch domain-containing protein 8B
Q2TBA0,KLH40_HUMAN,KLHL40,Kelch-like protein 40
O60662,KLH41_HUMAN,KLHL41,Kelch-like protein 41
P52294,IMA5_HUMAN,KPNA1,Importin subunit alpha-5
O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4
O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3
O60684,IMA7_HUMAN,KPNA6,Importin subunit alpha-7
Q14974,IMB1_HUMAN,KPNB1,Importin subunit beta-1
P04264,K2C1_HUMAN,KRT1,"Keratin, type II cytoskeletal 1"
P13645,K1C10_HUMAN,KRT10,"Keratin, type I cytoskeletal 10"
P02533,K1C14_HUMAN,KRT14,"Keratin, type I cytoskeletal 14"
P05783,K1C18_HUMAN,KRT18,"Keratin, type I cytoskeletal 18"
P08727,K1C19_HUMAN,KRT19,"Keratin, type I cytoskeletal 19"
P35908,K22E_HUMAN,KRT2,"Keratin, type II cytoskeletal 2 epidermal"
P13647,K2C5_HUMAN,KRT5,"Keratin, type II cytoskeletal 5"
P05787,K2C8_HUMAN,KRT8,"Keratin, type II cytoskeletal 8"
Q86UP2,KTN1_HUMAN,KTN1,Kinectin
Q16773,KAT1_HUMAN,KYAT1,Kynurenine--oxoglutarate transaminase 1
Q6YP21,KAT3_HUMAN,KYAT3,Kynurenine--oxoglutarate transaminase 3
Q9H9P8,L2HDH_HUMAN,L2HGDH,"L-2-hydroxyglutarate dehydrogenase, mitochondrial"
P83111,LACTB_HUMAN,LACTB,"Serine beta-lactamase-like protein LACTB, mitochondrial"
Q53H82,LACB2_HUMAN,LACTB2,Endoribonuclease LACTB2
P24043,LAMA2_HUMAN,LAMA2,Laminin subunit alpha-2
P55268,LAMB2_HUMAN,LAMB2,Laminin subunit beta-2
P11047,LAMC1_HUMAN,LAMC1,Laminin subunit gamma-1
P11279,LAMP1_HUMAN,LAMP1,Lysosome-associated membrane glycoprotein 1
P13473,LAMP2_HUMAN,LAMP2,Lysosome-associated membrane glycoprotein 2
Q6IAA8,LTOR1_HUMAN,LAMTOR1,Ragulator complex protein LAMTOR1
Q9Y2Q5,LTOR2_HUMAN,LAMTOR2,Ragulator complex protein LAMTOR2
O43813,LANC1_HUMAN,LANCL1,Glutathione S-transferase LANCL1
Q9NS86,LANC2_HUMAN,LANCL2,LanC-like protein 2
P28838,AMPL_HUMAN,LAP3,Cytosol aminopeptidase
Q9P2J5,SYLC_HUMAN,LARS1,"Leucine--tRNA ligase, cytoplasmic"
Q14847,LASP1_HUMAN,LASP1,LIM and SH3 domain protein 1
O43561,LAT_HUMAN,LAT,Linker for activation of T-cells family member 1
Q9UIC8,LCMT1_HUMAN,LCMT1,Leucine carboxyl methyltransferase 1
P13796,PLSL_HUMAN,LCP1,Plastin-2
O75112,LDB3_HUMAN,LDB3,LIM domain-binding protein 3
P00338,LDHA_HUMAN,LDHA,L-lactate dehydrogenase A chain
P07195,LDHB_HUMAN,LDHB,L-lactate dehydrogenase B chain
Q86WU2,LDHD_HUMAN,LDHD,"Probable D-lactate dehydrogenase, mitochondrial"
O95202,LETM1_HUMAN,LETM1,Mitochondrial proton/calcium exchanger protein
P09382,LEG1_HUMAN,LGALS1,Galectin-1
P17931,LEG3_HUMAN,LGALS3,Galectin-3
Q9UPQ0,LIMC1_HUMAN,LIMCH1,LIM and calponin homology domains-containing protein 1
P48059,LIMS1_HUMAN,LIMS1,LIM and senescent cell antigen-like-containing domain protein 1
P0CW19,LIMS3_HUMAN,LIMS3,LIM and senescent cell antigen-like-containing domain protein 3
P49257,LMAN1_HUMAN,LMAN1,Protein ERGIC-53
Q9NZU5,LMCD1_HUMAN,LMCD1,LIM and cysteine-rich domains protein 1
P02545,LMNA_HUMAN,LMNA,Prelamin-A/C
Q03252,LMNB2_HUMAN,LMNB2,Lamin-B2
Q6P5Q4,LMOD2_HUMAN,LMOD2,Leiomodin-2
Q0VAK6,LMOD3_HUMAN,LMOD3,Leiomodin-3
Q9C0E8,LNP_HUMAN,LNPK,Endoplasmic reticulum junction formation protein lunapark
P36776,LONM_HUMAN,LONP1,"Lon protease homolog, mitochondrial"
Q6P1A2,MBOA5_HUMAN,LPCAT3,Lysophospholipid acyltransferase 5
Q93052,LPP_HUMAN,LPP,Lipoma-preferred partner
P50851,LRBA_HUMAN,LRBA,Lipopolysaccharide-responsive and beige-like anchor protein
P02750,A2GL_HUMAN,LRG1,Leucine-rich alpha-2-glycoprotein
Q9H2I8,LRMDA_HUMAN,LRMDA,Leucine-rich melanocyte differentiation-associated protein
P30533,AMRP_HUMAN,LRPAP1,Alpha-2-macroglobulin receptor-associated protein
P42704,LPPRC_HUMAN,LRPPRC,"Leucine-rich PPR motif-containing protein, mitochondrial"
Q8TCA0,LRC20_HUMAN,LRRC20,Leucine-rich repeat-containing protein 20
Q9H9A6,LRC40_HUMAN,LRRC40,Leucine-rich repeat-containing protein 40
Q8N1G4,LRC47_HUMAN,LRRC47,Leucine-rich repeat-containing protein 47
O95777,LSM8_HUMAN,LSM8,U6 snRNA-associated Sm-like protein LSm8
P48449,ERG7_HUMAN,LSS,Lanosterol synthase
P09960,LKHA4_HUMAN,LTA4H,Leukotriene A-4 hydrolase
Q14767,LTBP2_HUMAN,LTBP3,Latent-transforming growth factor beta-binding protein 3
Q9Y383,LC7L2_HUMAN,LUC7L2,Putative RNA-binding protein Luc7-like 2
P51884,LUM_HUMAN,LUM,Lumican
Q9BS40,LXN_HUMAN,LXN,Latexin
O75608,LYPA1_HUMAN,LYPLA1,Acyl-protein thioesterase 1
O95372,LYPA2_HUMAN,LYPLA2,Acyl-protein thioesterase 2
Q5VWZ2,LYPL1_HUMAN,LYPLAL1,Lysophospholipase-like protein 1
Q5U5X0,LYRM7_HUMAN,LYRM7,Complex III assembly factor LYRM7
Q9BQ69,MACD1_HUMAN,MACROD1,ADP-ribose glycohydrolase MACROD1
O75367,H2AY_HUMAN,MACROH2A1,Core histone macro-H2A.1
Q9NTJ4,MA2C1_HUMAN,MAN2C1,Alpha-mannosidase 2C1
P21397,AOFA_HUMAN,MAOA,Amine oxidase [flavin-containing] A
P27338,AOFB_HUMAN,MAOB,Amine oxidase [flavin-containing] B
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2
Q02750,MP2K1_HUMAN,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1
P36507,MP2K2_HUMAN,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2
P46734,MP2K3_HUMAN,MAP2K3,Dual specificity mitogen-activated protein kinase kinase 3
P45985,MP2K4_HUMAN,MAP2K4,Dual specificity mitogen-activated protein kinase kinase 4
P52564,MP2K6_HUMAN,MAP2K6,Dual specificity mitogen-activated protein kinase kinase 6
Q9NYL2,M3K20_HUMAN,MAP3K20,Mitogen-activated protein kinase kinase kinase 20
P27816,MAP4_HUMAN,MAP4,Microtubule-associated protein 4
P28482,MK01_HUMAN,MAPK1,Mitogen-activated protein kinase 1
P53778,MK12_HUMAN,MAPK12,Mitogen-activated protein kinase 12
O15264,MK13_HUMAN,MAPK13,Mitogen-activated protein kinase 13
P27361,MK03_HUMAN,MAPK3,Mitogen-activated protein kinase 3
Q15691,MARE1_HUMAN,MAPRE1,Microtubule-associated protein RP/EB family member 1
Q15555,MARE2_HUMAN,MAPRE2,Microtubule-associated protein RP/EB family member 2
Q9UPY8,MARE3_HUMAN,MAPRE3,Microtubule-associated protein RP/EB family member 3
P10636,TAU_HUMAN,MAPT,Microtubule-associated protein tau
Q9NX47,MARH5_HUMAN,MARCHF5,E3 ubiquitin-protein ligase MARCHF5
P29966,MARCS_HUMAN,MARCKS,Myristoylated alanine-rich C-kinase substrate
P56192,SYMC_HUMAN,MARS1,"Methionine--tRNA ligase, cytoplasmic"
P31153,METK2_HUMAN,MAT2A,S-adenosylmethionine synthase isoform type-2
Q9NZL9,MAT2B_HUMAN,MAT2B,Methionine adenosyltransferase 2 subunit beta
Q7Z434,MAVS_HUMAN,MAVS,Mitochondrial antiviral-signaling protein
P02144,MYG_HUMAN,MB,Myoglobin
Q9NR56,MBNL1_HUMAN,MBNL1,Muscleblind-like protein 1
Q96RQ3,MCCA_HUMAN,MCCC1,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"
Q9HCC0,MCCB_HUMAN,MCCC2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"
Q96PE7,MCEE_HUMAN,MCEE,"Methylmalonyl-CoA epimerase, mitochondrial"
P33992,MCM5_HUMAN,MCM5,DNA replication licensing factor MCM5
Q9ULC4,MCTS1_HUMAN,MCTS1,Malignant T-cell-amplified sequence 1
Q8NE86,MCU_HUMAN,MCU,"Calcium uniporter protein, mitochondrial"
P40925,MDHC_HUMAN,MDH1,"Malate dehydrogenase, cytoplasmic"
P40926,MDHM_HUMAN,MDH2,"Malate dehydrogenase, mitochondrial"
Q86V88,MGDP1_HUMAN,MDP1,Magnesium-dependent phosphatase 1
P48163,MAOX_HUMAN,ME1,NADP-dependent malic enzyme
P23368,MAOM_HUMAN,ME2,"NAD-dependent malic enzyme, mitochondrial"
P51608,MECP2_HUMAN,MECP2,Methyl-CpG-binding protein 2
Q9BV79,MECR_HUMAN,MECR,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial"
Q9Y316,MEMO1_HUMAN,MEMO1,Protein MEMO1
P50579,MAP2_HUMAN,METAP2,Methionine aminopeptidase 2
Q96S19,MTL26_HUMAN,METTL26,Methyltransferase-like 26
Q9H8H3,MET7A_HUMAN,METTL7A,Methyltransferase-like protein 7A
Q8IWA4,MFN1_HUMAN,MFN1,Mitofusin-1
O95140,MFN2_HUMAN,MFN2,Mitofusin-2
Q99735,MGST2_HUMAN,MGST2,Microsomal glutathione S-transferase 2
O14880,MGST3_HUMAN,MGST3,Microsomal glutathione S-transferase 3
Q5TGZ0,MIC10_HUMAN,MICOS10,MICOS complex subunit MIC10
Q5XKP0,MIC13_HUMAN,MICOS13,MICOS complex subunit MIC13
Q9BPX6,MICU1_HUMAN,MICU1,"Calcium uptake protein 1, mitochondrial"
Q8IYU8,MICU2_HUMAN,MICU2,"Calcium uptake protein 2, mitochondrial"
Q9BRT3,MIEN1_HUMAN,MIEN1,Migration and invasion enhancer 1
P14174,MIF_HUMAN,MIF,Macrophage migration inhibitory factor
Q14165,MLEC_HUMAN,MLEC,Malectin
Q9UH92,MLX_HUMAN,MLX,Max-like protein X
O95822,DCMC_HUMAN,MLYCD,"Malonyl-CoA decarboxylase, mitochondrial"
Q96EY8,MMAB_HUMAN,MMAB,Corrinoid adenosyltransferase
Q8N4V1,EMC5_HUMAN,MMGT1,Membrane magnesium transporter 1
A0A0U1RRL7,MMPOS_HUMAN,MMP24OS,Protein MMP24OS
P22033,MUTA_HUMAN,MMUT,"Methylmalonyl-CoA mutase, mitochondrial"
Q9H8S9,MOB1A_HUMAN,MOB1A,MOB kinase activator 1A
Q9Y3A3,PHOCN_HUMAN,MOB4,MOB-like protein phocein
O96007,MOC2B_HUMAN,MOCS2,Molybdopterin synthase sulfur carrier subunit
Q13724,MOGS_HUMAN,MOGS,Mannosyl-oligosaccharide glucosidase
